                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     73,               0.017141,                0.01191,               0.012979,                      0,                0.89483,                0.31553,                0.34509,                 0.3102,                0.92834,                0.31553,                0.36163,                0.31998,               0.021061,               0.014514,                0.01423,                      0,               0.002872,               0.002872,               0.002872
                     74,               0.016581,               0.011608,               0.012809,                      0,                0.92358,                0.31779,                 0.3465,                0.31224,                0.92597,                0.31862,                0.35856,                0.32098,               0.020534,               0.014594,               0.013391,                      0,               0.002773,               0.002773,               0.002773
                     75,               0.016269,               0.011462,               0.013184,                      0,                 0.9235,                0.31553,                0.34795,                0.31494,                0.92831,                0.31717,                0.36242,                0.32271,               0.020736,               0.014943,               0.013618,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.01601,               0.011692,               0.012426,                      0,                0.93823,                 0.3106,                0.34383,                0.30876,                0.94816,                0.31389,                0.35694,                0.31994,               0.021192,               0.015328,               0.014412,                      0,               0.002575,               0.002575,               0.002575
                     77,               0.015111,               0.011339,               0.012168,                      0,                0.93574,                0.31635,                0.34801,                0.31147,                0.94303,                0.31882,                0.36209,                0.31845,               0.021249,               0.014832,               0.013598,                      0,               0.002476,               0.002476,               0.002476
                     78,               0.016055,               0.011291,               0.012126,                      0,                0.91806,                0.31717,                0.35125,                0.31545,                0.92215,                0.32046,                0.36513,                0.32406,               0.020678,               0.014886,               0.013878,                      0,               0.002377,               0.002377,               0.002377
                     79,               0.015561,               0.011125,               0.012319,                      0,                 0.9209,                 0.3157,                 0.3482,                0.31643,                 0.9209,                 0.3157,                0.36243,                0.32296,                0.02084,               0.014727,               0.014081,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.01609,               0.012101,                0.01207,                      0,                0.91869,                0.31565,                0.34965,                0.31421,                 0.9177,                0.31635,                0.36321,                0.32426,               0.020626,               0.015039,               0.014407,                      0,               0.002179,               0.002179,               0.002179
                     81,               0.015752,               0.011234,               0.011515,                      0,                0.91751,                0.31553,                0.34699,                0.31317,                0.91669,                0.31645,                0.36185,                0.32023,               0.020501,               0.015237,               0.014239,                      0,                0.00208,                0.00208,                0.00208
                     82,               0.015369,               0.011584,               0.011956,                      0,                0.92771,                0.31471,                0.34827,                0.31319,                0.93497,                0.31717,                0.36232,                0.32214,               0.020543,               0.014982,               0.014047,                      0,               0.001981,               0.001981,               0.001981
                     83,               0.015279,               0.011522,               0.011655,                      0,                0.92926,                0.31635,                0.34598,                0.31239,                0.94135,                0.31553,                0.36115,                0.31844,               0.020631,               0.015166,                0.01424,                      0,               0.001882,               0.001882,               0.001882
                     84,               0.014436,               0.011291,               0.011396,                      0,                0.92862,                0.31635,                 0.3506,                0.31691,                0.93586,                0.31882,                0.36437,                0.32212,               0.020289,               0.015319,               0.013912,                      0,               0.001783,               0.001783,               0.001783
                     85,               0.015498,               0.011349,               0.011683,                      0,                0.92428,                0.31964,                0.35078,                0.31772,                0.92941,                 0.3221,                0.36602,                0.32607,               0.020241,               0.014767,               0.013803,                      0,               0.001684,               0.001684,               0.001684
                     86,               0.014995,               0.011558,               0.011443,                      0,                0.92444,                0.31471,                0.34876,                0.31581,                0.94875,                0.31635,                 0.3647,                0.32251,               0.020118,               0.014858,               0.014178,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.01416,               0.011004,               0.011667,                      0,                0.92657,                0.31635,                0.34878,                0.31656,                0.95348,                0.31553,                0.36389,                0.32566,               0.020205,               0.015179,               0.013966,                      0,               0.001486,               0.001486,               0.001486
                     88,               0.014646,               0.011395,               0.011522,                      0,                0.93024,                0.31635,                0.34827,                  0.319,                0.93508,                  0.318,                 0.3642,                0.32412,               0.020057,                0.01512,               0.013834,                      0,               0.001387,               0.001387,               0.001387
                     89,               0.013998,               0.011038,               0.011226,                      0,                0.92773,                0.31635,                0.35026,                0.31897,                0.93493,                0.31717,                0.36512,                0.32264,               0.020056,                0.01526,               0.014177,                      0,               0.001288,               0.001288,               0.001288
                     90,               0.013968,               0.011023,               0.010573,                      0,                0.92024,                0.31553,                0.34617,                0.31501,                0.92743,                  0.318,                0.36213,                0.32053,               0.020154,               0.015315,                0.01456,                      0,               0.001189,               0.001189,               0.001189
                     91,               0.013904,                0.01107,                0.01065,                      0,                 0.9172,                0.31471,                0.34779,                0.31752,                0.92562,                0.31717,                 0.3628,                0.32028,               0.020204,               0.015177,               0.014611,                      0,                0.00109,                0.00109,                0.00109
                     92,               0.014511,               0.011291,               0.011019,                      0,                0.92467,                0.31553,                0.34802,                0.31733,                 0.9343,                0.31882,                0.36733,                0.32242,                0.02003,               0.014904,               0.014239,                      0,               0.000991,               0.000991,               0.000991
                     93,               0.013501,               0.010948,               0.010763,                      0,                0.92061,                  0.318,                0.35246,                0.32068,                0.94186,                0.31882,                0.36916,                0.32674,               0.019922,                0.01499,               0.013829,                      0,               0.000892,               0.000892,               0.000892
                     94,               0.014023,               0.011369,               0.010502,                      0,                0.92711,                  0.318,                0.35409,                0.32267,                0.92589,                0.32128,                0.37205,                0.32832,               0.019958,               0.015081,               0.013778,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.01382,               0.011206,               0.010598,                      0,                0.91281,                0.31828,                0.35492,                0.32196,                0.91642,                0.32128,                0.37065,                0.32858,               0.019998,               0.015017,               0.013922,                      0,               0.000694,               0.000694,               0.000694
                     96,               0.013862,               0.011101,               0.010678,                      0,                0.93318,                0.31471,                0.35048,                0.32021,                 0.9485,                0.31882,                0.36829,                0.32546,               0.020016,               0.015007,               0.014097,                      0,               0.000595,               0.000595,               0.000595
                     97,               0.014436,                0.01124,               0.010943,                      0,                0.92912,                0.31553,                 0.3521,                0.31906,                 0.9549,                0.31882,                0.37098,                0.32705,               0.019978,               0.014955,               0.013916,                      0,               0.000496,               0.000496,               0.000496
                     98,               0.013937,                0.01095,                0.01044,                      0,                0.91414,                0.31717,                0.35004,                0.32011,                0.95553,                 0.3178,                0.37004,                0.32603,               0.019981,               0.014992,               0.014025,                      0,               0.000397,               0.000397,               0.000397
                     99,               0.013865,               0.011347,               0.010733,                      0,                0.93714,                0.31471,                0.35117,                0.31981,                0.94937,                0.31882,                0.36894,                0.32471,               0.019928,                0.01489,               0.014058,                      0,               0.000298,               0.000298,               0.000298
                    100,                0.92721,                  0.318,                0.35414,                0.32267,                0.93444,                0.32046,                0.37203,                 0.3283,               0.019956,               0.015083,               0.013777,                      0
